1000 10000
3839 5714 28
1623 5664 39
4658 6016 3
1255 2723 12
6047 2628 28
1459 6656 9
6688 6411 32
6643 5867 21
6203 231 28
125 9337 20
7842 5985 24
9683 7866 21
6098 4596 14
5444 6653 11
1105 5602 1
4227 3906 32
5406 9450 14
5959 8022 14
3202 2744 40
9790 6113 28
998 3676 2
5768 3769 17
4957 4500 3
7306 7535 29
7540 6475 10
503 2920 9
4730 6503 8
9188 6501 7
8327 5861 18
5228 4791 37
8268 2989 29
3727 6128 22
9561 8830 37
52 4578 1
2675 897 33
3687 150 35
5331 5390 36
736 2749 25
5772 1085 26
5146 9049 8
3904 5067 7
7130 4267 4
3676 9713 9
3640 602 22
9647 2265 19
4874 6275 38
6317 8839 35
2154 5888 4
5037 7215 21
761 1600 11
7576 5956 34
5074 4409 19
2147 428 30
3011 9496 16
7892 3777 28
8802 3391 40
4411 2809 32
3202 5168 5
6814 1850 25
5919 1807 9
4777 7313 24
9208 6190 32
5050 9623 3
8679 2822 4
3063 8302 20
7789 670 27
4824 6553 33
7025 3357 28
3745 9590 38
3227 3401 17
6762 8087 20
7188 2935 21
3683 2054 9
3414 6355 5
3621 506 38
9354 4344 11
8944 4925 28
2927 2724 20
3110 6230 15
1798 8744 37
164 4237 6
3322 409 35
5927 8570 34
4884 5144 40
9788 6365 25
4559 5500 28
5618 5993 40
8672 5013 17
180 9714 33
8239 2449 29
6485 5338 27
1370 2747 27
2834 1840 30
4872 6578 10
5702 3597 30
1737 5355 34
7393 1227 32
3978 4638 12
1305 9232 35
6525 384 31
3488 1651 3
5754 7885 18
881 33 28
7945 7310 37
3292 7519 28
3382 1368 31
7172 2164 6
352 9564 3
8603 8937 26
7483 2518 27
9089 9271 11
5167 8564 19
7595 8731 16
1508 9642 39
8006 5667 16
9213 7720 11
842 8296 10
5220 3115 3
8796 6326 7
3950 7895 2
2744 5486 14
5125 339 35
246 5983 5
3582 8608 28
2681 1498 29
2 9853 26
8123 6426 22
4220 4055 10
6959 6316 26
3506 7865 28
6336 77 39
3076 9222 36
2360 2605 11
6198 226 18
3145 6354 4
145 1685 32
8004 1103 21
1029 2993 34
5073 1686 3
8563 6061 40
5002 3748 21
7925 771 38
744 113 25
1198 1609 30
4426 529 36
7677 6249 30
3117 8295 36
291 1486 35
6758 5492 34
857 6287 31
8493 7838 33
6899 477 17
909 8339 22
9566 1087 14
314 7073 31
3281 5863 6
728 8039 21
2815 7430 32
6767 4741 35
9912 3889 18
8778 1754 2
222 6711 12
4930 2810 29
3021 9959 2
3761 2732 21
3319 3662 12
2364 5443 19
1749 5125 22
4001 1292 30
2073 2664 23
8245 1418 4
4138 820 16
8419 646 35
9606 6898 10
6659 7102 32
4682 5393 22
1434 8 33
8862 2159 32
5829 4542 14
3665 8965 18
118 5225 16
3751 8174 8
4027 410 14
8408 2001 32
6541 8731 2
7920 5931 6
2472 632 9
6205 5848 23
7287 6304 37
3030 6101 29
7114 3685 5
9525 1 27
4616 1803 39
326 4832 27
5050 2653 5
3872 8172 10
5619 1385 33
3540 4043 21
63 2508 8
5948 7493 23
9453 3280 7
9676 5268 5
1176 1366 17
1165 5688 36
6432 2935 23
9383 3371 1
906 1556 16
9483 5460 3
4145 2550 8
2127 9989 30
9190 8464 6
8188 2627 38
8036 5087 29
8310 7762 36
6366 6274 30
5668 6792 5
6878 429 2
597 1713 4
8217 8492 27
7562 2618 16
5500 2972 38
7409 5714 24
4598 131 20
9628 7712 5
994 6809 25
7906 3180 25
6526 5263 15
3062 5997 37
8070 9307 24
2023 4112 7
7100 9573 13
3487 1598 2
8974 7715 39
8724 2365 20
2993 275 18
4276 5234 36
9447 224 39
77 3574 18
9651 2060 8
4250 7530 4
6232 694 16
280 1793 23
3655 5620 5
6030 4896 40
4295 671 33
3214 1106 29
7951 6622 18
7887 3373 24
1146 1586 21
3123 6407 23
2613 9076 5
5246 4021 8
1344 2275 15
7606 7028 9
6744 4999 25
4789 5910 24
2577 7660 34
8330 1075 7
2134 7800 12
262 5521 1
9170 4171 18
9270 2612 9
1515 3158 9
6949 6584 16
4702 876 7
4762 5579 13
4073 2232 15
792 2281 39
1778 5208 20
1555 3947 21
3481 174 10
5630 3034 18
1656 6445 18
625 2461 35
481 7539 17
2670 1365 32
598 4496 11
5879 85 34
2870 9462 16
5041 9813 11
552 1521 20
7218 3591 7
1971 7225 39
1091 6163 17
2555 8142 25
3390 2790 8
6571 5401 18
966 9194 36
3243 5786 16
5926 669 4
6523 4463 26
8456 929 22
4720 9504 7
7914 5185 19
1748 5526 20
934 74 33
3076 8963 7
6309 6598 15
2824 7919 24
1968 4518 39
3960 1351 37
4112 5234 27
5074 9185 29
7199 1436 29
2519 7893 6
6209 3103 19
4939 7253 11
5828 2042 13
7467 4939 19
3528 4725 4
3466 9617 34
6803 4987 4
7215 9474 14
8652 295 13
1708 5443 17
9616 4473 25
1845 5268 12
9425 1117 14
8116 6961 17
2121 1269 32
1625 3165 35
1837 6946 8
6213 4350 18
3941 1893 38
9510 2370 29
4859 78 6
3422 2367 6
1882 6029 37
199 5952 6
9151 8246 10
8901 3358 29
9605 1281 26
5969 5206 19
619 2307 19
2599 1967 1
9461 3449 21
143 3669 27
9041 5345 13
3102 4834 28
3145 3494 9
7805 3910 26
1051 8729 18
6948 872 22
1468 6245 13
777 1389 20
8311 1297 16
6343 3898 35
8206 1570 34
8151 5901 39
7415 8722 34
6446 1494 4
8069 1550 37
36 3389 12
5096 7722 4
5131 4667 29
1859 9108 7
3933 1225 15
6816 4755 1
5953 1719 15
8250 1352 4
2017 9131 20
3118 2340 31
1064 3310 31
2653 2305 33
5077 4092 21
8845 4342 21
6319 974 30
9849 8889 26
598 4021 18
2410 1498 4
9521 5249 26
8964 7778 10
6724 9179 24
2070 1625 28
7707 8291 14
2565 1739 20
7325 8667 29
7741 5900 8
6109 9173 37
8004 9396 2
4311 8594 10
5031 7693 21
8719 1473 5
5555 8558 27
3 3984 34
7087 3645 22
5686 7519 33
9597 9830 34
9518 5918 27
2627 5896 20
2550 5047 23
333 356 13
6457 3565 18
7628 7366 29
7178 1271 12
9538 47 28
5851 3953 12
9134 4643 2
914 9319 28
7186 3283 19
9174 3134 34
8561 2242 29
5085 6044 39
6478 4581 33
3864 978 20
5554 5549 26
5000 362 8
7780 3638 10
9395 8339 2
8068 7936 22
5877 8910 8
4090 3687 25
463 4986 39
6987 2102 6
975 2346 26
3785 5453 18
7805 5168 30
2618 9268 9
13 7586 8
2312 5732 39
6783 4296 33
938 469 24
9141 9559 30
5980 8152 26
7895 3166 24
8286 7413 36
6355 8401 29
300 4146 27
1229 4894 39
6726 819 9
7626 5234 4
8297 4656 25
4838 7879 28
6561 2160 34
9162 5193 1
6653 2472 6
8929 6465 23
7062 7389 29
5266 7925 22
8963 9374 22
435 7358 18
5541 2372 25
5160 1627 26
2089 2900 1
4037 6413 27
8425 2469 37
6887 1289 29
8898 5570 2
7868 1092 40
2240 5365 2
873 4443 17
622 1654 38
2922 5599 3
206 2514 28
2053 1422 12
8269 3869 17
2691 9620 5
4751 26 37
1274 1204 35
4450 179 13
2515 7786 15
4972 7996 18
5325 6535 36
1397 8887 4
237 9065 15
2289 3134 26
1919 3249 18
4843 2115 17
3831 4194 17
