699 100
28 5 5
29 1 0
29 1 3
29 2 1
29 3 0
29 4 2
29 4 3
29 4 4
29 4 5
29 5 1
29 5 6
30 2 0
30 2 4
30 2 5
30 3 2
30 3 3
30 5 2
30 5 6
31 1 3
31 2 1
31 2 2
31 4 5
31 5 6
32 1 4
32 1 5
32 1 6
32 2 1
32 2 2
32 2 4
32 2 5
32 3 3
32 3 5
32 4 4
33 1 2
33 3 4
33 3 6
33 4 4
33 4 6
33 5 4
34 1 1
34 1 5
34 1 6
34 2 0
34 2 2
34 2 3
34 2 4
34 3 0
34 4 0
34 5 1
34 5 5
35 1 2
35 1 4
35 1 5
35 2 1
35 2 3
35 3 0
35 3 6
36 1 0
36 1 1
36 2 0
36 2 3
36 2 5
36 3 0
36 4 1
36 4 2
36 4 5
36 4 6
36 5 1
37 1 3
37 2 6
37 4 1
37 5 4
38 1 2
38 1 3
38 2 1
38 3 0
38 3 5
38 4 6
38 5 2
38 5 3
39 1 0
39 1 1
39 1 2
39 2 2
39 2 4
39 3 1
39 3 4
39 4 0
39 4 5
39 5 2
39 5 5
39 5 6
40 1 6
40 4 6
41 1 0
41 2 5
41 3 6
41 4 1
41 4 6
41 5 0
42 1 3
42 2 0
42 2 4
42 3 1
42 3 3
42 3 6
42 4 0
42 4 3
42 4 5
42 5 6
43 2 3
43 3 0
43 3 6
43 4 5
43 5 4
44 1 0
44 2 4
44 3 4
44 4 2
44 5 5
45 1 0
45 1 1
45 3 0
45 3 2
45 4 3
46 2 6
46 4 3
46 5 0
46 5 4
47 1 1
47 1 4
47 1 6
47 2 3
47 2 4
47 4 3
47 5 2
48 1 0
48 1 2
48 2 4
48 2 5
48 2 6
48 3 5
48 4 0
48 4 4
48 5 5
49 1 0
49 3 1
49 3 3
49 3 4
49 4 1
49 4 2
49 5 5
50 1 1
50 1 5
50 2 2
50 3 0
50 3 1
50 4 5
50 5 0
50 5 4
50 5 5
51 1 4
51 1 6
51 2 1
51 2 3
51 2 6
51 3 4
51 4 0
51 5 3
51 5 4
51 5 6
52 1 2
52 1 4
52 2 5
53 4 0
53 4 2
53 4 6
53 5 0
53 5 2
53 5 5
54 1 1
54 1 2
54 2 1
54 3 5
54 4 4
55 1 4
55 2 2
55 3 0
55 4 5
55 4 6
55 5 5
56 1 2
56 1 3
56 2 0
56 2 2
56 3 0
56 3 4
56 4 0
56 4 4
56 5 4
57 1 0
57 2 3
57 2 5
57 5 3
57 5 4
58 1 0
58 1 5
58 3 5
58 4 5
58 4 6
58 5 0
59 2 5
59 3 0
59 3 6
60 1 1
60 2 5
60 3 0
60 4 0
60 5 6
61 1 1
61 3 0
61 4 0
62 1 4
62 2 0
62 2 2
62 3 3
62 4 5
62 5 1
63 1 0
63 1 2
63 1 3
63 2 3
63 4 2
63 4 3
63 4 4
64 1 0
64 1 2
64 1 4
64 2 0
64 3 1
64 3 2
64 5 1
64 5 6
65 1 3
65 1 5
65 2 4
65 2 6
65 3 1
65 5 1
65 5 3
65 5 4
65 5 6
66 1 1
66 3 6
66 4 2
66 4 3
66 5 3
66 5 4
67 1 2
67 3 4
67 4 1
67 4 3
67 4 6
67 5 3
68 1 1
68 2 2
68 2 3
68 3 4
68 3 6
69 1 1
69 2 1
69 2 4
69 3 6
69 5 0
69 5 6
70 1 1
70 1 2
70 1 5
70 3 6
70 4 1
70 4 2
70 4 5
70 5 0
70 5 1
70 5 2
71 1 3
71 2 3
71 2 5
71 3 0
71 3 5
71 3 6
71 4 3
71 4 5
71 5 3
71 5 4
72 1 1
72 1 5
72 1 6
72 2 0
72 2 1
72 2 4
72 2 5
72 3 0
72 4 0
72 4 1
72 4 3
72 5 3
73 2 1
73 2 4
73 2 5
73 3 1
73 4 0
73 5 1
73 5 4
74 1 3
74 1 5
74 3 4
74 3 6
74 5 0
75 1 2
75 2 0
75 3 5
75 4 0
75 4 2
75 5 3
76 1 1
76 3 1
76 3 2
76 4 0
76 4 2
76 4 6
76 5 4
77 1 4
77 3 2
77 3 5
77 4 0
77 4 2
77 4 6
77 5 5
77 5 6
78 1 2
78 4 1
78 5 5
79 2 0
79 3 2
79 4 6
79 5 5
80 1 0
80 2 5
80 3 5
80 4 1
80 4 2
80 4 4
80 5 1
80 5 4
81 1 6
81 2 3
81 3 3
81 4 0
81 4 1
82 1 4
82 2 3
82 3 2
82 3 3
82 3 5
82 4 0
82 5 1
82 5 5
83 1 4
83 1 5
83 2 3
83 3 3
83 3 6
83 4 4
83 4 5
83 4 6
83 5 3
84 1 2
84 1 6
84 2 3
84 2 6
84 3 2
84 4 0
84 4 2
84 4 5
84 5 0
84 5 1
84 5 5
85 1 2
85 2 0
85 2 6
85 3 2
85 3 6
85 4 2
85 4 4
85 5 5
86 1 0
86 2 6
86 3 0
86 4 5
86 5 5
87 1 0
87 2 2
87 3 2
87 3 5
87 4 0
88 1 0
88 1 3
88 2 6
88 3 2
88 4 3
88 4 6
88 5 0
88 5 4
88 5 5
89 1 4
89 1 6
89 2 2
89 2 3
89 2 4
89 2 5
89 2 6
89 3 0
89 3 5
89 4 4
90 1 4
90 2 3
90 3 4
90 4 1
90 4 4
90 5 1
91 1 1
91 1 5
91 2 1
91 2 3
91 2 6
91 4 5
91 5 1
91 5 3
92 1 1
92 1 2
92 1 3
92 1 4
92 2 3
92 3 4
92 4 3
93 2 3
93 3 0
93 3 5
93 4 3
93 4 6
93 5 4
94 1 3
94 1 5
94 2 1
94 2 6
94 4 1
94 4 3
94 5 6
95 2 5
95 5 1
95 5 3
95 5 6
96 1 3
96 1 5
96 2 0
96 2 1
96 3 6
96 5 5
97 1 2
97 1 3
97 2 0
97 2 2
97 2 5
97 3 1
97 3 5
97 4 3
97 4 4
97 4 5
98 1 4
98 1 5
98 2 3
98 2 4
98 2 6
99 1 3
99 2 4
99 2 5
99 2 6
99 3 3
99 4 4
99 5 5
100 1 6
100 2 0
100 3 3
100 3 6
100 5 6
